{'loss': tensor(0.0415, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0345, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0346, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0419, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0438, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0359, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0378, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0406, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0443, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0351, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0446, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0360, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0399, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0377, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0394, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0354, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0391, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0399, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0380, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0401, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0397, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0404, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0381, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0354, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0361, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0414, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0353, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0413, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0372, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0348, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0386, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0373, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0367, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0354, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0438, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0355, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0328, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0393, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0357, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0372, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0375, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0374, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0388, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0365, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0336, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0359, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0347, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0388, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0374, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0428, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0428, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0417, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0376, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0353, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0370, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0353, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0391, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0304, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0366, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0355, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0349, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0379, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0369, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0352, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0364, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0341, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0355, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0373, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0385, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0420, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0421, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0362, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0367, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0365, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0386, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0441, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0344, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0348, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0367, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0383, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0311, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0375, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0338, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0424, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0353, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0329, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0415, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0358, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0358, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0383, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0415, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0357, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0359, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0433, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0397, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0395, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0399, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0396, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0419, device='cuda:0', grad_fn=<SubBackward0>)}
{'loss': tensor(0.0380, device='cuda:0', grad_fn=<SubBackward0>)}
